Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,SMBJ5.0A,diodeSMB,155.575,-77.47,0.0,top
D2,LL4148,LL4148,184.15,-71.12,0.0,top
D3,LL4148,LL4148,184.15,-66.675,0.0,top
D4,LL4148,LL4148,184.15,-75.565,0.0,top
F1,mSMD150,fuse,155.575,-85.09,0.0,top
IC1,SN75176BDR,SN75176BDR,205.74,-97.79,0.0,top
LED1,19-213_Y2C-CQ2R2L_3T_CY_,19-213_Y2C-CQ2R2L_3T(CY),170.815,-66.675,-90.0,top
LED2,19-213_Y2C-CQ2R2L_3T_CY_,19-213_Y2C-CQ2R2L_3T(CY),162.56,-66.675,-90.0,top
LED3,19-213_Y2C-CQ2R2L_3T_CY_,19-213_Y2C-CQ2R2L_3T(CY),154.305,-66.675,-90.0,top
Q1,AO3400A,AO3400A,171.45,-74.93,-90.0,top
Q2,AO3400A,AO3400A,177.8,-74.93,-90.0,top
Q3,AO3400A,AO3400A,165.1,-74.93,-90.0,top
R1,220R,resistor,182.245,-86.995,-90.0,top
R2,2K2,resistor,198.12,-85.725,90.0,top
R3,220R,resistor,193.675,-85.725,90.0,top
R4,220R,resistor,184.785,-86.995,-90.0,top
R5,560,resistor,163.83,-70.485,180.0,top
R6,560,resistor,172.085,-70.485,180.0,top
R7,10K,resistor,171.45,-79.375,0.0,top
R8,10K,resistor,177.8,-79.375,0.0,top
R9,220R,resistor,179.705,-86.995,-90.0,top
R10,560,resistor,155.575,-70.485,180.0,top
R11,10K,resistor,165.1,-79.375,0.0,top
U1,JL850B-85003GA1,JL850B-85003GA1,162.56,-53.798625,0.0,top
U2,EL3H7(B)(TA)-G,opto,196.2075,-77.46,90.0,top
U3,JL850B-85003GA1,JL850B-85003GA1,195.58,-53.798625,0.0,top
U4,DBT10-7.62-2P-GN,DBT10-7.62-2P-GN,137.737,-81.28,90.0,top
